fnlwgt,age,hours-per-week,occupation,education-num,capital-gain,workclass,relationship,marital-status,education,race,native-country,capital-loss,sex
77516,39,40,Adm-clerical,13,2174,State-gov,Not-in-family,Never-married,Bachelors,White,United-States,0,Male
83311,50,13,Exec-managerial,13,0,Self-emp-not-inc,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
215646,38,40,Handlers-cleaners,9,0,Private,Not-in-family,Divorced,HS-grad,White,United-States,0,Male
234721,53,40,Handlers-cleaners,7,0,Private,Husband,Married-civ-spouse,11th,Black,United-States,0,Male
338409,28,40,Prof-specialty,13,0,Private,Wife,Married-civ-spouse,Bachelors,Black,Cuba,0,Female
284582,37,40,Exec-managerial,14,0,Private,Wife,Married-civ-spouse,Masters,White,United-States,0,Female
160187,49,16,Other-service,5,0,Private,Not-in-family,Married-spouse-absent,9th,Black,Jamaica,0,Female
209642,52,45,Exec-managerial,9,0,Self-emp-not-inc,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
45781,31,50,Prof-specialty,14,14084,Private,Not-in-family,Never-married,Masters,White,United-States,0,Female
159449,42,40,Exec-managerial,13,5178,Private,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
280464,37,80,Exec-managerial,10,0,Private,Husband,Married-civ-spouse,Some-college,Black,United-States,0,Male
141297,30,40,Prof-specialty,13,0,State-gov,Husband,Married-civ-spouse,Bachelors,Asian-Pac-Islander,India,0,Male
122272,23,30,Adm-clerical,13,0,Private,Own-child,Never-married,Bachelors,White,United-States,0,Female
205019,32,50,Sales,12,0,Private,Not-in-family,Never-married,Assoc-acdm,Black,United-States,0,Male
121772,40,40,Craft-repair,11,0,Private,Husband,Married-civ-spouse,Assoc-voc,Asian-Pac-Islander,?,0,Male
245487,34,45,Transport-moving,4,0,Private,Husband,Married-civ-spouse,7th-8th,Amer-Indian-Eskimo,Mexico,0,Male
176756,25,35,Farming-fishing,9,0,Self-emp-not-inc,Own-child,Never-married,HS-grad,White,United-States,0,Male
186824,32,40,Machine-op-inspct,9,0,Private,Unmarried,Never-married,HS-grad,White,United-States,0,Male
28887,38,50,Sales,7,0,Private,Husband,Married-civ-spouse,11th,White,United-States,0,Male
292175,43,45,Exec-managerial,14,0,Self-emp-not-inc,Unmarried,Divorced,Masters,White,United-States,0,Female
193524,40,60,Prof-specialty,16,0,Private,Husband,Married-civ-spouse,Doctorate,White,United-States,0,Male
302146,54,20,Other-service,9,0,Private,Unmarried,Separated,HS-grad,Black,United-States,0,Female
76845,35,40,Farming-fishing,5,0,Federal-gov,Husband,Married-civ-spouse,9th,Black,United-States,0,Male
117037,43,40,Transport-moving,7,0,Private,Husband,Married-civ-spouse,11th,White,United-States,2042,Male
109015,59,40,Tech-support,9,0,Private,Unmarried,Divorced,HS-grad,White,United-States,0,Female
216851,56,40,Tech-support,13,0,Local-gov,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
168294,19,40,Craft-repair,9,0,Private,Own-child,Never-married,HS-grad,White,United-States,0,Male
180211,54,60,?,10,0,?,Husband,Married-civ-spouse,Some-college,Asian-Pac-Islander,South,0,Male
367260,39,80,Exec-managerial,9,0,Private,Not-in-family,Divorced,HS-grad,White,United-States,0,Male
193366,49,40,Craft-repair,9,0,Private,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
190709,23,52,Protective-serv,12,0,Local-gov,Not-in-family,Never-married,Assoc-acdm,White,United-States,0,Male
266015,20,44,Sales,10,0,Private,Own-child,Never-married,Some-college,Black,United-States,0,Male
386940,45,40,Exec-managerial,13,0,Private,Own-child,Divorced,Bachelors,White,United-States,1408,Male
59951,30,40,Adm-clerical,10,0,Federal-gov,Own-child,Married-civ-spouse,Some-college,White,United-States,0,Male
311512,22,15,Other-service,10,0,State-gov,Husband,Married-civ-spouse,Some-college,Black,United-States,0,Male
242406,48,40,Machine-op-inspct,7,0,Private,Unmarried,Never-married,11th,White,Puerto-Rico,0,Male
197200,21,40,Machine-op-inspct,10,0,Private,Own-child,Never-married,Some-college,White,United-States,0,Male
544091,19,25,Adm-clerical,9,0,Private,Wife,Married-AF-spouse,HS-grad,White,United-States,0,Female
84154,31,38,Sales,10,0,Private,Husband,Married-civ-spouse,Some-college,White,?,0,Male
265477,48,40,Prof-specialty,12,0,Self-emp-not-inc,Husband,Married-civ-spouse,Assoc-acdm,White,United-States,0,Male
507875,31,43,Machine-op-inspct,5,0,Private,Husband,Married-civ-spouse,9th,White,United-States,0,Male
88506,53,40,Prof-specialty,13,0,Self-emp-not-inc,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
172987,24,50,Tech-support,13,0,Private,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
94638,49,40,Adm-clerical,9,0,Private,Unmarried,Separated,HS-grad,White,United-States,0,Female
289980,25,35,Handlers-cleaners,9,0,Private,Not-in-family,Never-married,HS-grad,White,United-States,0,Male
337895,57,40,Prof-specialty,13,0,Federal-gov,Husband,Married-civ-spouse,Bachelors,Black,United-States,0,Male
144361,53,38,Machine-op-inspct,9,0,Private,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
128354,44,40,Exec-managerial,14,0,Private,Unmarried,Divorced,Masters,White,United-States,0,Female
101603,41,40,Craft-repair,11,0,State-gov,Husband,Married-civ-spouse,Assoc-voc,White,United-States,0,Male
271466,29,43,Prof-specialty,11,0,Private,Not-in-family,Never-married,Assoc-voc,White,United-States,0,Male
32275,25,40,Exec-managerial,10,0,Private,Wife,Married-civ-spouse,Some-college,Other,United-States,0,Female
226956,18,30,Other-service,9,0,Private,Own-child,Never-married,HS-grad,White,?,0,Female
51835,47,60,Prof-specialty,15,0,Private,Wife,Married-civ-spouse,Prof-school,White,Honduras,1902,Female
251585,50,55,Exec-managerial,13,0,Federal-gov,Not-in-family,Divorced,Bachelors,White,United-States,0,Male
109832,47,60,Exec-managerial,9,0,Self-emp-inc,Not-in-family,Divorced,HS-grad,White,United-States,0,Male
237993,43,40,Tech-support,10,0,Private,Husband,Married-civ-spouse,Some-college,White,United-States,0,Male
216666,46,40,Machine-op-inspct,3,0,Private,Husband,Married-civ-spouse,5th-6th,White,Mexico,0,Male
56352,35,40,Other-service,11,0,Private,Husband,Married-civ-spouse,Assoc-voc,White,Puerto-Rico,0,Male
147372,41,48,Adm-clerical,9,0,Private,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
188146,30,40,Machine-op-inspct,9,5013,Private,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
