Restaurant Name,Restaurant ID,Latitude,Longitude,Address,Votes,Average Cost for two,Locality,Locality Verbose,Aggregate rating,City,Price range,Has Online delivery,Rating text,Rating color,Has Table booking,Country Code,Currency,Is delivering now
Le Petit Souffle,6317637,14.565443,121.027535,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City",314,1100,"Century City Mall, Poblacion, Makati City","Century City Mall, Poblacion, Makati City, Makati City",4.8,Makati City,3,No,Excellent,Dark Green,Yes,162,Botswana Pula(P),No
Izakaya Kikufuji,6304287,14.553708,121.014101,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City",591,1200,"Little Tokyo, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City, Makati City",4.5,Makati City,3,No,Excellent,Dark Green,Yes,162,Botswana Pula(P),No
Heat - Edsa Shangri-La,6300002,14.581404,121.056831,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City",270,4000,"Edsa Shangri-La, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City, Mandaluyong City",4.4,Mandaluyong City,4,No,Very Good,Green,Yes,162,Botswana Pula(P),No
Ooma,6318506,14.585318,121.056475,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",365,1500,"SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",4.9,Mandaluyong City,4,No,Excellent,Dark Green,No,162,Botswana Pula(P),No
Sambo Kojin,6314302,14.58445,121.057508,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City",229,1500,"SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",4.8,Mandaluyong City,4,No,Excellent,Dark Green,Yes,162,Botswana Pula(P),No
Din Tai Fung,18189371,14.583764,121.056314,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",336,1000,"SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",4.4,Mandaluyong City,3,No,Very Good,Green,No,162,Botswana Pula(P),No
Buffet 101,6300781,14.53133333,120.9796667,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City",520,2000,"SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",4.0,Pasay City,4,No,Very Good,Green,Yes,162,Botswana Pula(P),No
Vikings,6301290,14.54,120.9793333,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City",677,2000,"SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",4.2,Pasay City,4,No,Very Good,Green,Yes,162,Botswana Pula(P),No
Spiral - Sofitel Philippine Plaza Manila,6300010,14.55299,120.98009,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City",621,6000,"Sofitel Philippine Plaza Manila, Pasay City","Sofitel Philippine Plaza Manila, Pasay City, Pasay City",4.9,Pasay City,4,No,Excellent,Dark Green,Yes,162,Botswana Pula(P),No
Locavore,6314987,14.572041,121.056532,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",532,1100,Kapitolyo,"Kapitolyo, Pasig City",4.8,Pasig City,3,No,Excellent,Dark Green,Yes,162,Botswana Pula(P),No
Silantro Fil-Mex,6309903,14.567689,121.057916,"75 East Capitol Drive, Kapitolyo, Pasig City",1070,800,Kapitolyo,"Kapitolyo, Pasig City",4.9,Pasig City,3,No,Excellent,Dark Green,No,162,Botswana Pula(P),No
Mad Mark's Creamery & Good Eats,6309455,14.570849,121.06082,"23 East Capitol Drive, Kapitolyo, Pasig City",488,900,Kapitolyo,"Kapitolyo, Pasig City",4.2,Pasig City,3,No,Very Good,Green,Yes,162,Botswana Pula(P),No
Silantro Fil-Mex,6318433,14.649503,121.075419,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City",294,800,"UP Town Center, Diliman, Quezon City","UP Town Center, Diliman, Quezon City, Quezon City",4.8,Quezon City,3,No,Excellent,Dark Green,No,162,Botswana Pula(P),No
Guevarra's,6310470,14.59345,121.0335917,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",458,1000,Addition Hills,"Addition Hills, San Juan City",4.2,San Juan City,3,No,Very Good,Green,Yes,162,Botswana Pula(P),No
Sodam Korean Restaurant,6314605,14.59889,121.03811,"17 J. Abad Santos Drive, Little Baguio, San Juan City",223,700,Little Baguio,"Little Baguio, San Juan City",4.3,San Juan City,3,No,Very Good,Green,No,162,Botswana Pula(P),No
Cafe Arabelle,18185059,14.237082,121.05704,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa",29,800,"Nuvali, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa, Santa Rosa",3.6,Santa Rosa,3,No,Good,Yellow,No,162,Botswana Pula(P),No
Nonna's Pasta & Pizzeria,18182702,14.23767897,121.0565874,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa",72,850,"Solenad 3, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa, Santa Rosa",4.0,Santa Rosa,3,No,Very Good,Green,No,162,Botswana Pula(P),No
Balay Dako,6318213,14.101834,120.951589,"Aguinaldo Highway, Tagaytay City",211,1200,Tagaytay City,"Tagaytay City, Tagaytay City",4.5,Tagaytay City,3,No,Excellent,Dark Green,Yes,162,Botswana Pula(P),No
Hobing Korean Dessert Cafe,18255654,14.55436,121.045878,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City",118,600,"BGC Stopover Pavillion, Bonifacio Global City","BGC Stopover Pavillion, Bonifacio Global City, Taguig City",4.5,Taguig City,2,No,Excellent,Dark Green,No,162,Botswana Pula(P),No
Wildflour Cafe + Bakery,6308205,14.549337,121.04622,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",392,1500,Bonifacio Global City,"Bonifacio Global City, Taguig City",4.4,Taguig City,4,No,Very Good,Green,Yes,162,Botswana Pula(P),No
NIU by Vikings,6315438,14.545858,121.053725,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City",535,3000,"SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",4.7,Taguig City,4,No,Excellent,Dark Green,Yes,162,Botswana Pula(P),No
The Food Hall by Todd English,6310406,14.54565535,121.0534998,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City",618,1800,"SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",4.5,Taguig City,4,No,Excellent,Dark Green,Yes,162,Botswana Pula(P),No
Chez Michou,6600681,-15.76414167,-47.88178889,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Bras�_lia",6,55,Asa Norte,"Asa Norte, Bras�_lia",3.0,Bras�_lia,2,No,Average,Orange,No,30,Brazilian Real(R$),No
Caf�� Daniel Briand,6601005,-15.7775,-47.88266667,"SCLN 104, Bloco A, Loja 26, Asa Norte, Bras�_lia",9,30,Asa Norte,"Asa Norte, Bras�_lia",3.8,Bras�_lia,1,No,Good,Yellow,No,30,Brazilian Real(R$),No
Casa do Biscoito Mineiro,6600292,-15.75747222,-47.88213611,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Bras�_lia",11,45,Asa Norte,"Asa Norte, Bras�_lia",3.7,Bras�_lia,2,No,Good,Yellow,No,30,Brazilian Real(R$),No
Maori,6600441,-15.75883333,-47.88816667,"CLN 110, Bloco D, Loja 28, Asa Norte, Bras�_lia",11,60,Asa Norte,"Asa Norte, Bras�_lia",3.8,Bras�_lia,3,No,Good,Yellow,No,30,Brazilian Real(R$),No
Pizza �� Bessa,6600970,-15.83116667,-47.91566667,"SCS 214, Bloco C, Loja 40, Asa Sul, Bras�_lia",11,50,Asa Sul,"Asa Sul, Bras�_lia",3.2,Bras�_lia,2,No,Average,Orange,No,30,Brazilian Real(R$),No
Sushi Loko,6600379,-15.831,-47.91566667,"SCS 213, Bloco C, Loja 35, Asa Sul, Bras�_lia",10,80,Asa Sul,"Asa Sul, Bras�_lia",3.1,Bras�_lia,3,No,Average,Orange,No,30,Brazilian Real(R$),No
Beirute,6600214,-15.82,-47.9075,"CLS 109, Bloco A, Loja 2/6, Asa Sul, Bras�_lia",8,90,Asa Sul,"Asa Sul, Bras�_lia",3.7,Bras�_lia,3,No,Good,Yellow,No,30,Brazilian Real(R$),No
