query,scenario,profession,mental_health_status,age,education_level,health_status,economic_status,marital_status,gender
How can I overcome feelings of inadequacy as an older student in college?,education,student,anxious,28,community college,healthy,middle class,single,female
Is living alone a bad idea?,education,student,anxiety about living situations,19,some college,healthy,middle class,in a relationship,male
Is it worth it to stay in college just for a piece of paper that says I have a degree while paying a lot more because I am neglecting my personal health and tanking assignments?,education,student,depression,18,some college,poor,middle class,single,male
What should I do about my major if I hate my classes but don't want to waste time and money?,education,intern,depressed,21,Junior in Computer Science,depressed,upper middle class,single,male
"Have any of you ever been in a situation like this, where you feel responsible to stay at home and want to show your appreciation to your parents but are dealing with issues? What did you choose and how did it go?",education,student,anxiety,22,senior in college,overweight,middle class,single,female
How does anyone even manage to go to college for four years and stay afloat?,education,full time job,overwhelmed,30,some college,stressed,middle class,married,female
What should I pursue instead of my current major in business analytics?,education,student,not given,26,associates in social sciences,recovered addict,not given,not given,not given
Does my major really matter that much?,education,student,unsure,20,some college,healthy,middle class,single,female
Which degree should I go with?,education,student,major anxiety disorder,20,some college,chronic illness,middle class,single,female
Does anyone have experience with going to grad school 2-3 years removed from your bachelors?,education,not specified,miserable,26,bachelor's degree,healthy,struggling,single,male
"Did my advisor give me too much work, or is this normal for my major?",education,student,not specified,21,some college,not specified,middle class,in a relationship,female
How are you managing to pay for college?,education,part-time worker,stressed,17,high school senior,healthy,middle class,single,female
What should I do if my mom is threatening to withdraw financial support if I don't continue a degree I hate?,education,student,at an all time low,19,currently enrolled in a degree program,depressed,dependent,single,female
How can I find a college that will accept my credits in time for enrollment for the fall 2025 semester?,education,unemployed,close to giving up,24,63 credits towards a degree,"stressed, affecting physical and mental health",poor,single,not given
What should I study if I'm not a people person and don't want to go into debt for medical school?,education,student,anxious,18,undergraduate,healthy,poor,single,female
Does anyone else feel the same?,education,student,depressed,28,undergraduate degree,not healthy,not given,not given,not given
What degree might be more relevant in this day and age: an English degree focused in writing or a business degree?,education,ice cream shop employee,stressed,30s,some college,healthy,poor,divorced,female
How can I improve my academic situation after failing my classes?,education,student,grief,20s,some college,intense ADHD,dependent on parents,in a relationship,male
Anyone who went through this situation please give me tips on how you overcame this and did academics comeback?,education,student,sad,20,pursuing a degree,healthy,middle class,single,female
"Should I try to switch majors and keep pushing through college, or is it better to consider alternative career paths like a certificate program or online work?",education,student,undiagnosed mental health issue(s),19,some college,poor,poor,not given,not given
How can I make friends in college?,education,student,depressed,18,undergraduate,good,poor,single,male
How do I cope with my roommate who can't stand me anymore and has asked me to work in the study room after 6 pm?,education,student,experiencing anxiety and nightmares,20,some college,generally healthy,middle class,single,female
How do you guys manage studying for hours a day and having full-time jobs?,education,student,autism,26,college,half blind,on Social Security,single,female
Should I quit college due to my ongoing health issues?,education,student,"stressed, feeling defeated",23,college,"epilepsy, recent flu A",middle class,single,female
"Do I obtain a bachelor’s degree first in English or Secondary Education, are there accelerated programs, and what online schools are accredited for this degree?",education,full time job,overwhelmed,26,some college,healthy after cancer,middle class,not given,not given
Does anyone have tips or your own stories about studying effectively in college?,education,biochemistry major,"suspected ADHD, depression",20-25,some college,taking meds for depression,middle class,single,not given
How can I cope with the stress of returning to college while managing ADHD and feeling overwhelmed?,education,student,ADHD,28,college,medicated for ADHD,not given,in a relationship,not given
Should I just tell my parents I’m not doing cosmetology school?,education,student,stressed,18,high school,healthy,poor,single,female
How can I find my passion after trying several different jobs?,education,student,unfocused,23,bachelor's,healthy,middle class,single,female
How do I experience college life when I work a 9-5?,education,office worker,unstable due to bad home life,20,some college,healthy,middle class,single,male
At what point do I give up and say it's not for me?,education,student,struggling with self-esteem,21,some college,not specified,middle class,not given,not given
How can I handle my strict family?,education,student,struggling with vulnerability,17,high school,healthy,middle class,single,female
How can I cope with the stress of job hunting while dealing with my grandfather's declining health?,education,student,stressed and confused,22,senior in college,grandfather is dying,uncertain,in a relationship,male
Should I stop studying or should I keep going?,education,student,struggling with self-esteem and stress,19,currently attending college,healthy,poor,single,female
What should I major in?,education,entry-level jobs,not in the right mental space,21,some college,not specified,working class,single,male
How can I overcome my fear of becoming a nurse due to the risks involved?,education,student,anxious,22,some college,healthy,part-time worker,single,female
"What am I missing here that could improve my odds of academic success, in this semester and in future semesters?",education,student,depressed,approaching 30,some college,underlying health problems,not given,not given,not given
Is there any certs I can get that are online and self pace? Where I can complete them as fast as I want to get it over with? (ideally in art or technology),education,field tech worker,overwhelmed,26,not given,not given,not given,not given,not given
Is 19 okay as a freshman?,education,student,"depressed, couple of mental health disorders",19,some college,frequently sick,poor,not given,not given
How can I manage my anxiety about changing my major and my future career path?,education,student,"depression, severe social anxiety, GAD, P-TSD, mood disorder",26,some college,half blind,on disability,single,female
What should I do if I can't live on campus for my second year of uni?,education,student,stressed,19,undergraduate,healthy,dependent on parents,single,female
What helped you power through being overwhelmed by outside influences?,education,student,depressed,21,senior in college,hospitalized for anxiety,middle class,single,not given
Is there ANY chance at recovering from this? Are my transcripts going to haunt me for the rest of my life?,education,student,feeling hopeless and struggling,23,some college,not specified,struggling,single,male
Anyone else ever feel this way?,education,nursing student,insecure,22,bachelor's degree,healthy,middle class,single,female
Should I switch my major to graphic design?,education,student,struggling with focus,19,associates degree,healthy,middle class,single,female
Is there any possible ideas for any loan with low interest out there that would help me resolve this issue ASAP?,education,student,stressed,23,college,healthy,poor,single,female
What should I do about my full-time job while being a full-time student?,education,full time worker,struggling with mental health,26,GED,healthy,not given,not given,not given
Is there any way that online college would be fully asynchronous aside from going in for exams?,education,part-time worker,anxiety,18,high school graduate,anxiety,not given,single,not given
How to come up with achievements when I have none?,education,unemployed,unspecified,around 30,medical coding degree,multiple eye surgeries,poor,divorced,female
"Should I relent to living here at home and commuting, or should I press to live near campus?",education,student,traumatized by verbal abuse,24,Master of Science program,healthy,financially stunted,single,female
"How formally should I be dressing as a TA, considering my identity and values?",education,"graduate student, teaching assistant",overthinking,22,Masters,healthy,middle class,single,nonbinary
"Should I just focus on completing the assignments, projects, quizzes etc. or actually focus on learning?",education,engineer,stressed,33,bachelor's degree,healthy,middle class,married,male
"Should I work in biotech for a few years and then reapply to US institutions, or apply more globally, or perhaps a mix of both?",education,prospective researcher,anxious,22,undergraduate,healthy,middle class,single,male
How can I live up to my advisor's standards if my best is not good enough?,education,graduate student,"depression, anxiety, ADHD",30s,masters,"depression, anxiety, ADHD",middle class,married,female
How can I strengthen my application or improve my chances of being accepted into a graduate program in Forensic Science despite my current academic standing?,education,student,anxiety disorder,20-25,junior in college,anxiety disorder,poor,single,not given
What should I consider when deciding between LSE and Princeton for my master's program?,education,student,stressed,21,senior student,healthy,middle class,engaged,female
"Would having an MS in data analytics, MS in accounting, and then an MBA look poorly as I would be overly educated?",education,sourcing manager,not given,27,MS in data analytics (in progress),healthy,middle class,single,not given
"What are some good ways to pivot into a Master's Degree that you don't have prior experience in, and will the hard work in readying myself for one be rewarded with guarantees of better job opportunities?",education,not given,not given,24,BFA in Fine Arts Drawing,able-bodied,middle class,single,not given
Should I take the W? Would it make any difference for me at this point?,education,student,"burnt out, feeling ashamed","non-traditional student, likely over 30",graduate student,"chronic pain, heart tumor",middle class,single,female
How can I feel more confident about my achievements?,education,entrepreneur,not given,40,masters,not given,not given,not given,not given
Do I need therapy?,education,PhD student,feeling burnt out and emotionally detached,26-30,PhD,has rheumatoid arthritis,middle class,in a relationship,female
How to deal with first trimester of pregnancy in PhD program?,education,PhD student,worried about academic performance,27,PhD,experiencing nausea and fatigue due to pregnancy,middle class,married,female
"Are there any graduate programs that might be free, sponsored, remote learning from a foreign country, trade school, or completely covered by scholarships?",education,niche field professional,anxiety,mid-forties,graduate degrees,healthy,middle class,married,not given
