Attr4,Attr5,Attr12
154,64,324
139,58,275
139,59,225
160,66,296
130,55,251
150,61,278
151,62,253
121,49,261
149,60,355
153,59,289
176,67,367
131,54,369
125,52,275
151,61,265
146,60,262
150,63,367
173,67,365
160,64,339
126,52,238
136,56,251
133,56,247
155,62,281
306,126,346
140,59,243
115,56,207
145,58,345
231,97,332
144,58,345
163,66,355
105,52,207
169,67,351
113,57,204
150,64,246
126,56,195
125,53,254
137,54,366
152,64,272
161,68,305
149,60,265
110,54,208
137,58,273
157,64,279
142,57,339
109,52,206
151,63,280
333,138,354
129,59,203
136,58,222
131,56,209
160,62,294
135,59,356
170,65,314
163,63,319
143,62,366
150,64,285
131,56,240
141,58,330
139,56,363
125,55,204
124,51,284
136,58,371
169,66,339
114,48,261
141,59,291
139,56,365
140,60,212
133,57,227
114,53,247
138,58,237
147,64,352
142,58,268
121,59,221
113,53,218
125,52,351
111,54,213
136,58,376
148,61,323
138,55,256
142,59,370
116,54,196
119,52,241
164,64,387
160,63,367
165,69,279
144,59,259
164,68,305
125,52,243
147,58,349
142,56,364
130,62,194
137,58,373
140,61,223
150,63,354
154,64,311
143,59,246
162,64,357
117,51,255
112,55,219
136,55,350
147,61,338
162,68,317
147,60,246
111,48,277
123,55,212
145,58,371
157,64,375
141,57,330
166,66,355
147,62,258
250,105,289
149,62,325
161,63,334
159,63,372
132,56,354
160,64,356
117,49,249
133,55,253
148,61,249
138,59,278
127,54,242
172,67,363
119,56,208
144,60,333
133,54,351
164,66,290
164,64,359
136,54,359
322,133,364
126,56,211
145,62,280
150,64,264
137,58,225
138,57,351
114,53,249
175,70,358
131,56,237
162,63,316
159,63,309
151,64,246
178,72,379
160,63,300
124,52,282
139,57,260
157,64,283
116,53,250
117,58,205
161,64,389
143,60,374
162,66,331
167,69,307
137,56,367
159,64,363
161,65,354
141,57,365
157,65,281
158,62,312
174,66,347
143,61,266
150,63,284
129,57,200
143,59,301
163,66,368
140,58,349
149,59,362
159,65,314
246,102,347
123,51,262
110,55,203
157,61,326
164,68,308
150,64,265
166,67,313
162,66,381
145,60,253
120,50,269
150,63,307
170,66,334
139,58,294
147,62,318
115,54,209
162,64,371
133,55,369
158,68,268
125,54,352
174,68,354
159,63,309
162,64,363
133,56,362
126,52,253
111,48,258
135,55,351
134,59,223
163,68,357
166,65,348
134,56,366
144,59,241
121,53,358
162,64,281
133,55,354
