1(String),2(String),3(String),4(String),6(Int),7(Int),8(Int),9(Int),10(Int),11(Int)
d1cp0a_,1cp0,A:,a.1.1.2,46456,46457,46458,46463,46469,46470
d2mgb__,2mgb,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1cq2a_,1cq2,A:,a.1.1.2,46456,46457,46458,46463,46469,46470
d1mlk__,1mlk,,a.1.1.2,46456,46457,46458,46463,46469,46470
d2cmm__,2cmm,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1mln__,1mln,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1mlh__,1mlh,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1mlg__,1mlg,,a.1.1.2,46456,46457,46458,46463,46469,46470
d2mgk__,2mgk,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1ebca_,1ebc,A:,a.1.1.2,46456,46457,46458,46463,46469,46470
d1mod__,1mod,,a.1.1.2,46456,46457,46458,46463,46469,46470
d106m__,106m,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1ch3a_,1ch3,A:,a.1.1.2,46456,46457,46458,46463,46469,46470
d1mlj__,1mlj,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1moc__,1moc,,a.1.1.2,46456,46457,46458,46463,46469,46470
d2mgl__,2mgl,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1mlq__,1mlq,,a.1.1.2,46456,46457,46458,46463,46469,46470
d2mgi__,2mgi,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1mti__,1mti,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1cp5a_,1cp5,A:,a.1.1.2,46456,46457,46458,46463,46469,46470
d1mbi__,1mbi,,a.1.1.2,46456,46457,46458,46463,46469,46470
d2mgj__,2mgj,,a.1.1.2,46456,46457,46458,46463,46469,46470
d103m__,103m,,a.1.1.2,46456,46457,46458,46463,46469,46470
d107m__,107m,,a.1.1.2,46456,46457,46458,46463,46469,46470
d101m__,101m,,a.1.1.2,46456,46457,46458,46463,46469,46470
d4mbn__,4mbn,,a.1.1.2,46456,46457,46458,46463,46469,46470
d5mbn__,5mbn,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1ch5a_,1ch5,A:,a.1.1.2,46456,46457,46458,46463,46469,46470
d105m__,105m,,a.1.1.2,46456,46457,46458,46463,46469,46470
d2mgh__,2mgh,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1jp6a_,1jp6,A:,a.1.1.2,46456,46457,46458,46463,46469,46470
d2mya__,2mya,,a.1.1.2,46456,46457,46458,46463,46469,46470
d2mga__,2mga,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1mob__,1mob,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1spe__,1spe,,a.1.1.2,46456,46457,46458,46463,46469,46470
d112m__,112m,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1duoa_,1duo,A:,a.1.1.2,46456,46457,46458,46463,46469,46470
d1jp8a_,1jp8,A:,a.1.1.2,46456,46457,46458,46463,46469,46470
d1cpwa_,1cpw,A:,a.1.1.2,46456,46457,46458,46463,46469,46470
d2mb5__,2mb5,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1vxa__,1vxa,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1dtma_,1dtm,A:,a.1.1.2,46456,46457,46458,46463,46469,46470
d1irc__,1irc,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1iop__,1iop,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1duka_,1duk,A:,a.1.1.2,46456,46457,46458,46463,46469,46470
d108m__,108m,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1vxb__,1vxb,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1mbn__,1mbn,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1f6ha_,1f6h,A:,a.1.1.2,46456,46457,46458,46463,46469,46470
d1myf__,1myf,,a.1.1.2,46456,46457,46458,46463,46469,46470
d1j3fa_,1j3f,A:,a.1.1.2,46456,46457,46458,46463,46469,46470
d1ufja_,1ufj,A:,a.1.1.2,46456,46457,46458,46463,46469,46470
d1ufpa_,1ufp,A:,a.1.1.2,46456,46457,46458,46463,46469,46470
d1mba__,1mba,,a.1.1.2,46456,46457,46458,46463,46469,46471
d2fal__,2fal,,a.1.1.2,46456,46457,46458,46463,46469,46471
d5mba__,5mba,,a.1.1.2,46456,46457,46458,46463,46469,46471
d3mba__,3mba,,a.1.1.2,46456,46457,46458,46463,46469,46471
d1dm1a_,1dm1,A:,a.1.1.2,46456,46457,46458,46463,46469,46471
d2fam__,2fam,,a.1.1.2,46456,46457,46458,46463,46469,46471
d4mba__,4mba,,a.1.1.2,46456,46457,46458,46463,46469,46471
d1mbs__,1mbs,,a.1.1.2,46456,46457,46458,46463,46469,46472
d1mwca_,1mwc,A:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1mwcb_,1mwc,B:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1mwda_,1mwd,A:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1mwdb_,1mwd,B:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1myga_,1myg,A:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1mygb_,1myg,B:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1m6ma_,1m6m,A:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1m6mb_,1m6m,B:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1m6ca_,1m6c,A:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1m6cb_,1m6c,B:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1mnoa_,1mno,A:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1mnob_,1mno,B:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1myja_,1myj,A:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1myjb_,1myj,B:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1mnia_,1mni,A:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1mnib_,1mni,B:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1mdna_,1mdn,A:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1mdnb_,1mdn,B:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1myia_,1myi,A:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1myib_,1myi,B:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1mnja_,1mnj,A:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1mnjb_,1mnj,B:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1myha_,1myh,A:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1myhb_,1myh,B:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1mnka_,1mnk,A:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1mnkb_,1mnk,B:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1ycba_,1ycb,A:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1ycbb_,1ycb,B:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1ycaa_,1yca,A:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1ycab_,1yca,B:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1mnh__,1mnh,,a.1.1.2,46456,46457,46458,46463,46469,46473
d1pmba_,1pmb,A:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1pmbb_,1pmb,B:,a.1.1.2,46456,46457,46458,46463,46469,46473
d1gjna_,1gjn,A:,a.1.1.2,46456,46457,46458,46463,46469,46474
d1dwta_,1dwt,A:,a.1.1.2,46456,46457,46458,46463,46469,46474
d1dwsa_,1dws,A:,a.1.1.2,46456,46457,46458,46463,46469,46474
d1dwra_,1dwr,A:,a.1.1.2,46456,46457,46458,46463,46469,46474
d1hrm__,1hrm,,a.1.1.2,46456,46457,46458,46463,46469,46474
d1nz3a_,1nz3,A:,a.1.1.2,46456,46457,46458,46463,46469,46474
d1wla__,1wla,,a.1.1.2,46456,46457,46458,46463,46469,46474
d1xch__,1xch,,a.1.1.2,46456,46457,46458,46463,46469,46474
d1rse__,1rse,,a.1.1.2,46456,46457,46458,46463,46469,46474
d1npga_,1npg,A:,a.1.1.2,46456,46457,46458,46463,46469,46474
d1nz5a_,1nz5,A:,a.1.1.2,46456,46457,46458,46463,46469,46474
d1nz2a_,1nz2,A:,a.1.1.2,46456,46457,46458,46463,46469,46474
d1bje__,1bje,,a.1.1.2,46456,46457,46458,46463,46469,46474
d1npfa_,1npf,A:,a.1.1.2,46456,46457,46458,46463,46469,46474
d1nz4a_,1nz4,A:,a.1.1.2,46456,46457,46458,46463,46469,46474
d1hsy__,1hsy,,a.1.1.2,46456,46457,46458,46463,46469,46474
d1ymb__,1ymb,,a.1.1.2,46456,46457,46458,46463,46469,46474
d1ymc__,1ymc,,a.1.1.2,46456,46457,46458,46463,46469,46474
d1azi__,1azi,,a.1.1.2,46456,46457,46458,46463,46469,46474
d1yma__,1yma,,a.1.1.2,46456,46457,46458,46463,46469,46474
d2mm1__,2mm1,,a.1.1.2,46456,46457,46458,46463,46469,46475
d1emy__,1emy,,a.1.1.2,46456,46457,46458,46463,46469,46476
d1lht__,1lht,,a.1.1.2,46456,46457,46458,46463,46469,46477
d1lhs__,1lhs,,a.1.1.2,46456,46457,46458,46463,46469,46477
d1myt__,1myt,,a.1.1.2,46456,46457,46458,46463,46469,46478
d1eco__,1eco,,a.1.1.2,46456,46457,46458,46463,46479,46480
